eval_video/1,eval_video/6,_step,evaluation/avg_episode_len,eval_video/8,eval_video/2,eval_video/7,eval_video/4,reward_value_images,eval_video/9,eval_video/3,eval_video/0,eval_video/5,evaluation/Reward >= 1,num_online_trajs,_runtime,num_online_samples,evaluation/Reward >= 0,env_steps,evaluation/avg_return,evaluation/success_rate,_timestamp,training/std_pi_max,training/next_actions_std,training/actor_loss,replay_buffer_size,training/mean_pi_avg,training/next_log_probs,training/adapter_l2,training/entropy,training/mean_pi_min,training/std_pi_avg,training/mean_pi_norm,training/adapter_gate_l1,training/critic_loss,training/next_q_pi,episode_return (exploration),training/target_q,training/mean_pi_max,training/next_actions_sampled,training/temperature_loss,training/q_pi_in_actor,training/std_pi_norm,training/adapter_feature_norm,training/next_actions_min,training/next_actions_max,training/temperature,training/q,training/target_actor_entropy,is_success (exploration),training/next_actions_mean,training/std_pi_min,training/adapter_gate_mean
"{'sha256': 'c3eda304cfc158d9dcb12ffe24ce663da9f819da59e3da32acdd010c2a923b36', 'size': 1207964, 'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/1_10000_c3eda304cfc158d9dcb1.gif'}","{'_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/6_10000_9c28e5d27ce8fb08d547.gif', 'sha256': '9c28e5d27ce8fb08d5477474162dc1fea4c6b1d87fb46f37139a6004dd64f256', 'size': 1128897, 'width': 64}",10000,309.9,"{'_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/8_10000_08f0869b54beab5d274f.gif', 'sha256': '08f0869b54beab5d274f68802777ce7f2bb1bb1991e40b281f3f800f844a25dc', 'size': 1153133, 'width': 64}","{'sha256': '028290d579f29ed0af2b5a11ff9e86b6a15d614830e30d12cfd0e57cadbf90a5', 'size': 1189871, 'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/2_10000_028290d579f29ed0af2b.gif'}","{'path': 'media/videos/eval_video/7_10000_50e328d5a43776596c6a.gif', 'sha256': '50e328d5a43776596c6acea7b939c08c22144a665c00fd1e83867c594da48c34', 'size': 855841, 'width': 64, '_type': 'video-file', 'height': 64}","{'height': 64, 'path': 'media/videos/eval_video/4_10000_2eb008c24dcb7e724efe.gif', 'sha256': '2eb008c24dcb7e724efe19eb511aced023baeac1793b14d826db189396ec77d0', 'size': 1022906, 'width': 64, '_type': 'video-file'}","{'size': 396999, 'width': 800, '_type': 'image-file', 'format': 'png', 'height': 3600, 'path': 'media/images/reward_value_images_10000_4cb024978a7155ccff4b.png', 'sha256': '4cb024978a7155ccff4b0d2d569d03c0ceaa5c981396e1da7ecafa3ebe0c8995'}","{'_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/9_10000_a9218520ba8426413a97.gif', 'sha256': 'a9218520ba8426413a971ae51ac8fc6cb0a3f57bf1ab164a4740e9737d1a8f66', 'size': 590937, 'width': 64}","{'path': 'media/videos/eval_video/3_10000_517fb018951603dde9d8.gif', 'sha256': '517fb018951603dde9d829f78afb25de40296bf8c6e2019e850aa356987c1748', 'size': 914743, 'width': 64, '_type': 'video-file', 'height': 64}","{'size': 450319, 'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/0_10000_0452986287369af7416e.gif', 'sha256': '0452986287369af7416ef930517ce7a9d75eb311e2a01fa1684b2d4c9678d5a5'}","{'size': 914803, 'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/5_10000_e0d76dd345169d1b9877.gif', 'sha256': 'e0d76dd345169d1b9877616d2fc9f6451690bf73b5d8146bea356895ed0a6058'}",0.7,16.0,1149.622110625,992.0,1.0,5097.0,0.7,0.7,1780363753.5680923,0.9000335931777954,0.9801201820373535,-0.940090000629425,992.0,-0.026123175397515297,-33.24431228637695,0.9806851148605347,33.02882385253906,-0.4061274230480194,0.8746633529663086,0.6571070551872253,0.5031442642211914,0.02090846560895443,-2.137209415435791,1.0,-3.105166435241699,0.25762948393821716,0.0053015463054180145,5.427676200866699,-2.175934314727783,6.122918605804443,31.689388275146484,-1.0,1.0,0.09434707462787628,-3.1081674098968506,33.24431228637695,1.0,0.0053015463054180145,0.8147502541542053,0.5031442642211914
,,10500,,,,,,,,,,,,,1156.076142124,,,,,,1780363788.491805,0.891412079334259,0.9798715114593506,2.4624767303466797,1072.0,-0.007292398251593113,-33.432456970214844,0.9797993898391724,33.44591522216797,-0.24569077789783478,0.8766594529151917,0.20391055941581726,0.5019679665565491,0.005455853883177042,-4.137385845184326,0.0,-5.103732109069824,0.14263083040714264,0.014254420064389706,4.888796329498291,-5.284102439880371,6.136728763580322,31.675086975097656,-1.0,1.0,0.0843682661652565,-5.103818416595459,33.432456970214844,0.0,0.014254420064389706,0.8463094830513,0.5019679665565491
,,11000,,,,,,,,,,,,,1162.505202866,,,,,,1780363794.9459453,0.9018622040748596,0.9797540307044983,4.851320266723633,1072.0,-0.017873113974928856,-33.15984344482422,0.9797247648239136,33.14163589477539,-0.8099188208580017,0.8719905614852905,0.38540005683898926,0.491098552942276,0.007255241274833679,-6.44207763671875,0.0,-7.359966278076172,0.5229982137680054,0.006379285361617804,4.348446846008301,-7.351356506347656,6.104408264160156,31.673887252807617,-1.0,1.0,0.07543933391571045,-7.35547399520874,33.15984344482422,0.0,0.006379285361617804,0.7274006009101868,0.491098552942276
,,11500,,,,,,,,,,,,,1197.44183029,,,,,,1780363801.3737073,0.910508930683136,0.9789057374000549,5.556238174438477,1072.0,-0.029607567936182022,-32.2575569152832,0.9778634905815125,32.56341552734375,-1.062719702720642,0.8722124695777893,0.8109487295150757,0.48965340852737427,0.022073721513152122,-7.38820743560791,0.0,-8.319755554199219,0.6407164931297302,-0.015231023542582989,3.85202693939209,-7.7542619705200195,6.106827259063721,31.64378547668457,-1.0,1.0,0.06750431656837463,-8.321653366088867,32.2575569152832,0.0,-0.015231023542582989,0.6864722967147827,0.48965340852737427
,,12000,,,,,,,,,,,,,1203.856769388,,,,,,1780363836.3094058,0.895835280418396,0.984683096408844,6.448432445526123,1152.0,-0.014816001988947392,-33.13243103027344,0.9894810914993286,33.276512145996094,-0.45705297589302063,0.8693780303001404,0.613051176071167,0.4916861653327942,0.03672852739691734,-7.700206279754639,0.0,-8.649603843688965,0.24453075230121613,-0.006656670942902565,3.4903600215911865,-8.458564758300781,6.085842132568359,31.831233978271484,-1.0,1.0,0.060411401093006134,-8.644479751586914,33.13243103027344,0.0,-0.006656670942902565,0.833437979221344,0.4916861653327942
,,12500,,,,,,,,,,,,,1210.32795983,,,,,,1780363842.7265449,0.9115724563598633,0.9845837354660034,7.513228893280029,1152.0,-0.030252523720264435,-32.14427947998047,0.9894535541534424,31.758886337280273,-1.1350055932998657,0.869055449962616,1.366729497909546,0.5085408091545105,0.05659161135554314,-8.9099760055542,0.0,-9.844209671020508,0.6967924237251282,-0.018587203696370125,3.0399882793426514,-9.229192733764648,6.085239887237549,31.830791473388672,-1.0,1.0,0.054035697132349014,-9.773653984069824,32.14427947998047,0.0,-0.018587203696370125,0.7009762525558472,0.5085408091545105
,,13000,,,,,,,,,,,,,1216.821811708,,,,,,1780363849.1943996,0.927430272102356,0.9865621328353882,7.411166667938232,1152.0,-0.0208407174795866,-32.63106155395508,0.9935020208358765,32.84954833984375,-0.8654229640960693,0.8730161786079407,0.9041895270347595,0.49609941244125366,0.04721439629793167,-8.754104614257812,0.0,-9.620529174804688,0.5535946488380432,-0.006617741659283638,2.773750066757202,-8.999809265136719,6.112093925476074,31.895854949951172,-1.0,1.0,0.04836568236351013,-9.62182903289795,32.63106155395508,0.0,-0.006617741659283638,0.7473645210266113,0.49609941244125366
,,13500,,,,,,,,,,,,,1251.449031024,,,,,,1780363855.6894124,0.8989236354827881,0.9864685535430908,8.81764030456543,1152.0,0.0007927001570351422,-33.403961181640625,0.9934730529785156,33.277347564697266,-0.46139270067214966,0.8759313821792603,0.37357819080352783,0.5035630464553833,0.00467546796426177,-9.655937194824219,0.0,-10.568878173828125,0.2939022481441498,-0.012319879606366158,2.497305154800415,-10.255834579467773,6.131683349609375,31.89539337158203,-1.0,1.0,0.04322291165590286,-10.560772895812988,33.403961181640625,0.0,-0.012319879606366158,0.8395320177078247,0.5035630464553833
,,14000,,,,,,,,,,,,,1257.903192769,,,,,,1780363890.3164883,0.9015681743621826,0.9874172210693359,11.726480484008789,1232.0,0.011476504616439342,-33.3502311706543,0.9954302310943604,33.269779205322266,-0.47476309537887573,0.8727504014968872,0.5239230990409851,0.5190539360046387,0.1623542159795761,-12.160682678222656,0.0,-13.00403881072998,0.3395414352416992,-0.010614870116114616,2.231368064880371,-13.011380195617676,6.109406471252441,31.92679214477539,-1.0,1.0,0.03862518072128296,-12.992466926574707,33.3502311706543,0.0,-0.010614870116114616,0.8419787287712097,0.5190539360046387
,,14500,,,,,,,,,,,,,1264.303816609,,,,,,1780363896.7727108,0.9204686284065247,0.9860450625419617,13.858269691467285,1232.0,0.005051893647760153,-32.229637145996094,0.9923843741416931,32.243431091308594,-1.5514848232269287,0.873573899269104,0.83318030834198,0.4999803900718689,0.026340657845139503,-14.104034423828125,0.0,-14.98779296875,1.3738617897033691,-0.01226158905774355,1.9638657569885254,-14.974052429199219,6.116938591003418,31.877910614013672,-1.0,1.0,0.03460957109928131,-15.003085136413574,32.229637145996094,0.0,-0.01226158905774355,0.6168321371078491,0.4999803900718689
